# name	cardType	attribute	monsterType	monsterAbility	type	level	attack	defense	lpendulum	rpendulum	spellType	trapType
Allure Queen LV7	Monster	Dark	Effect	None	Spellcaster	7	1500	1500	0	0	None	None
Ally Mind	Monster	Dark	Effect	Tuner	Machine	5	1800	1400	0	0	None	None
Ally of Justice Catastor	Monster	Dark	Synchro	Effect	Machine	5	2200	1200	0	0	None	None
Ally of Justice Clausolas	Monster	Dark	Normal	None	Machine	6	2300	1200	0	0	None	None
Ally of Justice Core Destroyer	Monster	Dark	Effect	None	Machine	3	1200	200	0	0	None	None
Ally of Justice Cosmic Gateway	Monster	Dark	Effect	None	Machine	8	2400	1200	0	0	None	None
Ally of Justice Cycle Reader	Monster	Dark	Effect	Tuner	Machine	3	1000	1000	0	0	None	None
Ally of Justice Cyclone Creator	Monster	Dark	Effect	Tuner	Machine	3	1400	1200	0	0	None	None
Ally of Justice Decisive Armor	Monster	Dark	Synchro	Effect	Machine	10	3300	3300	0	0	None	None
Ally of Justice Enemy Catcher	Monster	Dark	Effect	None	Machine	6	1800	1800	0	0	None	None
Ally of Justice Field Marshal	Monster	Dark	Synchro	Effect	Machine	9	2900	2600	0	0	None	None
Ally of Justice Garadholg	Monster	Dark	Effect	None	Machine	4	1600	400	0	0	None	None
Ally of Justice Light Gazer	Monster	Dark	Synchro	Effect	Machine	8	2400	1600	0	0	None	None
Ally of Justice Nullfier	Monster	Dark	Effect	None	Machine	4	1600	1200	0	0	None	None
Ally of Justice Omni-Weapon	Monster	Dark	Effect	None	Machine	5	2200	800	0	0	None	None
Ally of Justice Quarantine	Monster	Dark	Effect	None	Machine	4	1700	1200	0	0	None	None
Ally of Justice Reverse Break	Monster	Dark	Effect	None	Machine	4	1200	1200	0	0	None	None
Ally of Justice Rudra	Monster	Dark	Effect	None	Machine	5	1900	1200	0	0	None	None
Ally of Justice Searcher	Monster	Dark	Effect	None	Machine	3	1400	100	0	0	None	None
Ally of Justice Thousand Arms	Monster	Dark	Effect	None	Machine	4	1700	0	0	0	None	None
Ally of Justice Thunder Armor	Monster	Dark	Effect	None	Machine	8	2700	2200	0	0	None	None
Ally of Justice Unknown Crusher	Monster	Dark	Effect	None	Machine	3	1200	800	0	0	None	None
Ally of Justice Unlimiter	Monster	Dark	Effect	None	Machine	2	600	200	0	0	None	None
Ally Salvo	Monster	Dark	Effect	None	Machine	2	400	300	0	0	None	None
Alpha The Magnet Warrior	Monster	Earth	Normal	None	Rock	4	1400	1700	0	0	None	None
A Man with Wdjat	Monster	Dark	Effect	None	Spellcaster	4	1600	1600	0	0	None	None
Ambulance Rescueroid	Monster	Fire	Fusion	Effect	Machine	6	2300	1800	0	0	None	None
Ambulanceroid	Monster	Earth	Effect	None	Machine	3	300	1200	0	0	None	None
Amazon of the Seas	Monster	Water	Normal	None	Fish	4	1300	1400	0	0	None	None
Amazoness Archer	Monster	Earth	Effect	None	Warrior	4	1400	1000	0	0	None	None
Amazoness Blowpiper	Monster	Earth	Effect	None	Warrior	3	800	1500	0	0	None	None
Amazoness Chain Master	Monster	Earth	Effect	None	Warrior	4	1500	1300	0	0	None	None
Amazoness Fighter	Monster	Earth	Effect	None	Warrior	4	1500	1300	0	0	None	None
Amazoness Paladin	Monster	Earth	Effect	None	Warrior	4	1700	300	0	0	None	None
Amazoness Queen	Monster	Earth	Effect	None	Warrior	6	2400	1800	0	0	None	None
Amazoness Sage	Monster	Earth	Effect	None	Warrior	4	1400	700	0	0	None	None
Amazoness Scouts	Monster	Earth	Effect	None	Warrior	2	500	1100	0	0	None	None
Amazoness Swords Woman	Monster	Earth	Effect	None	Warrior	4	1500	1600	0	0	None	None
Amazoness Tiger	Monster	Earth	Effect	None	Beast	4	1100	1500	0	0	None	None
Amazoness Trainee	Monster	Earth	Effect	None	Warrior	4	1500	1300	0	0	None	None
Ameba	Monster	Water	Effect	None	Aqua	1	300	350	0	0	None	None
Ambitious Gofer	Monster	Dark	Effect	None	Fiend	6	2400	100	0	0	None	None
Amphibian Beast	Monster	Water	Normal	None	Fish	6	2400	2000	0	0	None	None
Amphibious Bugroth	Monster	Water	Fusion	None	Aqua	5	1850	1300	0	0	None	None
Amphibious Bugroth MK-3	Monster	Water	Effect	None	Machine	4	1500	1300	0	0	None	None
Anarchist Monk Ranshin	Monster	Earth	Effect	None	Spellcaster	4	1800	100	0	0	None	None
Ancient Crimson Ape	Monster	Light	Effect	None	Beast	7	2600	1800	0	0	None	None
Ancient Elf	Monster	Light	Normal	None	Spellcaster	4	1450	1200	0	0	None	None
Ancient Fairy Dragon	Monster	Light	Synchro	Effect	Dragon	7	2100	3000	0	0	None	None
Ancient Flamvell Deity	Monster	Fire	Synchro	Effect	Pyro	7	2500	200	0	0	None	None
Ancient Gear	Monster	Earth	Effect	None	Machine	2	100	800	0	0	None	None
Ancient Gear Beast	Monster	Earth	Effect	None	Machine	6	2000	2000	0	0	None	None
Ancient Gear Cannon	Monster	Earth	Effect	None	Machine	2	500	500	0	0	None	None
Ancient Gear Engineer	Monster	Earth	Effect	None	Machine	5	1500	1500	0	0	None	None
Ancient Gear Gadjiltron Chimera	Monster	Earth	Effect	None	Machine	6	2300	1300	0	0	None	None
Ancient Gear Gadjiltron Dragon	Monster	Earth	Effect	None	Machine	8	3000	2000	0	0	None	None
Ancient Gear Golem	Monster	Earth	Effect	None	Machine	8	3000	3000	0	0	None	None
Ancient Gear Knight	Monster	Earth	Effect	Gemini	Machine	4	1800	500	0	0	None	None
Ancient Gear Soldier	Monster	Earth	Effect	None	Machine	4	1300	1300	0	0	None	None
Ancient Lamp	Monster	Wind	Effect	None	Spellcaster	3	900	1400	0	0	None	None
Ancient Lizard Warrior	Monster	Earth	Normal	None	Reptile	4	1400	1100	0	0	None	None
Ancient One of the Deep Forest	Monster	Earth	Normal	None	Beast	6	1800	1900	0	0	None	None
Ancient Sacred Wyvern	Monster	Light	Synchro	Effect	Fairy	7	2100	2000	0	0	None	None
Andro Sphinx	Monster	Light	Effect	None	Beast	10	3000	2500	0	0	None	None
Angel O7	Monster	Light	Effect	None	Fairy	7	2500	1500	0	0	None	None
An Owl of Luck	Monster	Wind	Effect	None	WingedBeast	2	300	500	0	0	None	None
Ansatsu	Monster	Earth	Normal	None	Warrior	5	1700	1200	0	0	None	None
Anteatereatingant	Monster	Earth	Effect	None	Insect	5	2000	500	0	0	None	None
Anti-Aircraft Flower	Monster	Earth	Effect	None	Plant	3	0	1600	0	0	None	None
Ape Fighter	Monster	Dark	Effect	None	Beast	4	1900	1200	0	0	None	None
Apocatequil	Monster	Light	Effect	None	Thunder	4	1800	1200	0	0	None	None
Apprentice Magician	Monster	Dark	Effect	None	Spellcaster	2	400	800	0	0	None	None
Aqua Dragon	Monster	Water	Fusion	None	SeaSerpent	6	2250	1900	0	0	None	None
Aqua Madoor	Monster	Water	Normal	None	Spellcaster	4	1200	2000	0	0	None	None
Aqua Spirit	Monster	Water	Effect	None	Aqua	4	1600	1200	0	0	None	None
Aquarian Alessa	Monster	Water	Effect	Gemini	Aqua	4	1500	500	0	0	None	None
Arcana Force 0 - The Fool	Monster	Light	Effect	None	Fairy	1	0	0	0	0	None	None
Arcana Force EX - The Dark Ruler	Monster	Light	Effect	None	Fairy	10	4000	4000	0	0	None	None
Arcana Force Ex - the Light Ruler	Monster	Light	Effect	None	Fairy	10	4000	4000	0	0	None	None
Arcana Force I - The Magician	Monster	Light	Effect	None	Fairy	4	1100	1100	0	0	None	None
Arcana Force III - The Empress	Monster	Light	Effect	None	Fairy	4	1300	1300	0	0	None	None
Arcana Force IV - The Emperor	Monster	Light	Effect	None	Fairy	4	1400	1400	0	0	None	None
Arcana Force VI - The Lovers	Monster	Light	Effect	None	Fairy	4	1600	1600	0	0	None	None
Arcana Force VII - The Chariot	Monster	Light	Effect	None	Fairy	4	1700	1700	0	0	None	None
Arcana Force XIV - Temperance	Monster	Light	Effect	None	Fairy	6	2400	2400	0	0	None	None
Arcana Force XVIII - The Moon	Monster	Light	Effect	None	Fairy	7	2800	2800	0	0	None	None
Arcana Force XXI - The World	Monster	Light	Effect	None	Fairy	8	3100	3100	0	0	None	None
Arcana Knight Joker	Monster	Light	Fusion	Effect	Warrior	9	3800	2500	0	0	None	None
Arcane Apprentice	Monster	Fire	Effect	Tuner	Spellcaster	2	1000	400	0	0	None	None
Arcane Archer of the Forest	Monster	Earth	Effect	None	Warrior	3	900	1400	0	0	None	None
Arcanite Magician	Monster	Light	Synchro	Effect	Spellcaster	7	400	1800	0	0	None	None
Arcanite Magician/Assault Mode	Monster	Light	Effect	None	Spellcaster	9	900	2300	0	0	None	None
Archfiend Empress	Monster	Dark	Effect	None	Fiend	8	2900	2100	0	0	None	None
Archfiend General	Monster	Dark	Effect	None	Fiend	4	2100	800	0	0	None	None
Archfiend Interceptor	Monster	Dark	Effect	None	Fiend	4	1400	1600	0	0	None	None
Archfiend Marmot of Nefariousness	Monster	Earth	Normal	None	Beast	2	400	600	0	0	None	None
Archfiend of Gilfer	Monster	Dark	Effect	None	Fiend	6	2200	2500	0	0	None	None
Archfiend Soldier	Monster	Dark	Normal	None	Fiend	4	1900	1500	0	0	None	None
Archfiend Zombie-Skull	Monster	Dark	Synchro	Effect	Zombie	6	2500	1200	0	0	None	None
Archlord Kristya	Monster	Light	Effect	None	Fairy	8	2800	2300	0	0	None	None
Archlord Zerato	Monster	Light	Effect	None	Fairy	8	2800	2300	0	0	None	None
Armageddon Knight	Monster	Dark	Effect	None	Warrior	4	1400	1200	0	0	None	None
Armaill	Monster	Earth	Normal	None	Warrior	3	700	1300	0	0	None	None
Armament of the Lethal Lords	Monster	Dark	Effect	None	Warrior	8	2500	2500	0	0	None	None
Armed Dragon LV3	Monster	Wind	Effect	None	Dragon	3	1200	900	0	0	None	None
Armed Dragon LV5	Monster	Wind	Effect	None	Dragon	5	2400	1700	0	0	None	None
Armed Dragon LV7	Monster	Wind	Effect	None	Dragon	7	2800	1000	0	0	None	None
Armed Dragon LV10	Monster	Wind	Effect	None	Dragon	10	3000	2000	0	0	None	None
Armed Ninja	Monster	Earth	Effect	None	Warrior	1	300	300	0	0	None	None
Armed Samurai - Ben Kei	Monster	Dark	Effect	None	Warrior	4	500	800	0	0	None	None
Armed Sea Hunter	Monster	Water	Effect	None	SeaSerpent	4	1800	400	0	0	None	None
Armityle the Chaos Phantom	Monster	Dark	Fusion	Effect	Fiend	12	0	0	0	0	None	None
Armor Breaker	Monster	Earth	Effect	Union	Warrior	3	800	800	0	0	None	None
Armor Exe	Monster	Light	Effect	None	Rock	4	2400	1400	0	0	None	None
Armored Axon Kicker	Monster	Earth	Effect	None	Psychic	6	2200	1800	0	0	None	None
Armored Cybern	Monster	Wind	Effect	Union	Machine	4	0	2000	0	0	None	None
Armored Lizard	Monster	Earth	Normal	None	Reptile	4	1500	1200	0	0	None	None
Armored Starfish	Monster	Water	Normal	None	Aqua	4	850	1400	0	0	None	None
Armored Zombie	Monster	Dark	Normal	None	Zombie	3	1500	0	0	0	None	None
Armoroid	Monster	Earth	Effect	None	Machine	8	2700	2000	0	0	None	None
Armory Arm	Monster	Light	Synchro	Effect	Machine	4	1800	1200	0	0	None	None
Arsenal Bug	Monster	Earth	Effect	None	Insect	3	2000	2000	0	0	None	None
Arsenal Summoner	Monster	Wind	Effect	None	Spellcaster	4	1600	1600	0	0	None	None
Assault Beast	Monster	Earth	Effect	None	BeastWarrior	4	1900	1200	0	0	None	None
Assault Mercenary	Monster	Earth	Effect	None	Warrior	4	1800	300	0	0	None	None
Asura Priest	Monster	Light	Effect	Spirit	Fairy	5	1700	1200	0	0	None	None
Aswan Apparition	Monster	Dark	Effect	None	Fiend	3	500	500	0	0	None	None
A-Team: Trap Disposal Unit	Monster	Fire	Effect	None	Machine	2	300	400	0	0	None	None
Athena	Monster	Light	Effect	None	Fairy	7	2600	800	0	0	None	None
Atlantean Pikeman	Monster	Water	Normal	None	SeaSerpent	2	1400	0	0	0	None	None
Atomic Firefly	Monster	Light	Effect	None	Insect	1	100	200	0	0	None	None
Atomic Scrap Dragon	Monster	Earth	Synchro	Effect	Dragon	10	3200	2400	0	0	None	None
Attack Gainer	Monster	Earth	Effect	Tuner	Warrior	1	0	0	0	0	None	None
Aurora Paragon	Monster	Light	Effect	None	Fairy	4	1500	1000	0	0	None	None
Aurkus, Lightsworn Druid	Monster	Light	Effect	None	BeastWarrior	3	1200	1800	0	0	None	None
Aussa the Earth Charmer	Monster	Earth	Effect	None	Spellcaster	3	500	1500	0	0	None	None
Avalanching Aussa	Monster	Earth	Effect	None	Spellcaster	4	800	1500	0	0	None	None
Avatar of The Pot	Monster	Earth	Effect	None	Rock	3	1200	1300	0	0	None	None
Avenging Knight Parshath	Monster	Light	Synchro	Effect	Fairy	8	2600	2100	0	0	None	None
Axe Dragonute	Monster	Dark	Effect	None	Dragon	4	2000	1200	0	0	None	None
Axe Raider	Monster	Earth	Normal	None	Warrior	4	1700	1150	0	0	None	None
Aztekipede, the Worm Warrior	Monster	Earth	Effect	None	Insect	4	1900	400	0	0	None	None
B. Skull Dragon	Monster	Dark	Fusion	None	Dragon	9	3200	2500	0	0	None	None
Baby Dragon	Monster	Wind	Normal	None	Dragon	3	1200	700	0	0	None	None
Baby Tiragon	Monster	Earth	Xyz	Effect	Dragon	1	900	900	0	0	None	None
Babycerasaurus	Monster	Earth	Effect	None	Dinosaur	2	500	500	0	0	None	None
Balloon Lizard	Monster	Earth	Effect	None	Reptile	4	500	1900	0	0	None	None
Banisher of the Light	Monster	Light	Effect	None	Fairy	3	100	2000	0	0	None	None
Banisher of the Radiance	Monster	Light	Effect	None	Fairy	3	1600	0	0	0	None	None
Barbaroid, the Ultimate Battle Machine	Monster	Earth	Fusion	Effect	Machine	12	4000	4000	0	0	None	None
Barrel Dragon	Monster	Dark	Effect	None	Machine	7	2600	2200	0	0	None	None
Barrier Resonator	Monster	Light	Effect	Tuner	Fiend	1	300	800	0	0	None	None
Barrier Statue of the Abyss	Monster	Dark	Effect	None	Fiend	4	1000	1000	0	0	None	None
Barrier Statue of the Drought	Monster	Earth	Effect	None	Rock	4	1000	1000	0	0	None	None
Barrier Statue of the Heavens	Monster	Light	Effect	None	Fairy	4	1000	1000	0	0	None	None
Barrier Statue of the Inferno	Monster	Fire	Effect	None	Pyro	4	1000	1000	0	0	None	None
Barrier Statue of the Stormwinds	Monster	Wind	Effect	None	WingedBeast	4	1000	1000	0	0	None	None
Barrier Statue of the Torrent	Monster	Water	Effect	None	Aqua	4	1000	1000	0	0	None	None
Baron of the Fiend Sword	Monster	Dark	Normal	None	Fiend	4	1550	800	0	0	None	None
Basic Insect	Monster	Earth	Normal	None	Insect	2	500	700	0	0	None	None
Batteryman AA	Monster	Light	Effect	None	Thunder	3	0	0	0	0	None	None
Batteryman AAA	Monster	Light	Effect	None	Thunder	4	0	0	0	0	None	None
Batteryman C	Monster	Light	Effect	None	Thunder	2	0	0	0	0	None	None
Batteryman Charger	Monster	Light	Effect	None	Thunder	5	1800	1200	0	0	None	None
Batteryman D	Monster	Light	Effect	None	Thunder	1	0	1900	0	0	None	None
Batteryman Fuel Cell	Monster	Light	Effect	None	Thunder	6	2100	0	0	0	None	None
Batteryman Industrial Strength	Monster	Light	Effect	None	Thunder	8	2600	0	0	0	None	None
Batteryman Micro-Cell	Monster	Light	Effect	None	Thunder	1	100	100	0	0	None	None
Battle Fader	Monster	Dark	Effect	None	Fiend	1	0	0	0	0	None	None
Battle Footballer	Monster	Fire	Normal	None	Machine	4	1000	2100	0	0	None	None
Battle Ox	Monster	Earth	Normal	None	BeastWarrior	4	1700	1000	0	0	None	None
Battle Steer	Monster	Earth	Normal	None	BeastWarrior	5	1800	1300	0	0	None	None
Battlestorm	Monster	Dark	Effect	None	WingedBeast	4	1700	1000	0	0	None	None
Bazoo the Soul-Eater	Monster	Earth	Effect	None	Beast	4	1600	900	0	0	None	None
Bean Soldier	Monster	Earth	Normal	None	Plant	4	1400	1300	0	0	None	None
Beast King Barbaros	Monster	Earth	Effect	None	BeastWarrior	8	3000	1200	0	0	None	None
Beast Machine King Barbaros Ur	Monster	Earth	Effect	None	BeastWarrior	8	3800	1200	0	0	None	None
Beast of Talwar	Monster	Dark	Normal	None	Fiend	6	2400	2150	0	0	None	None
Beast of the Pharaoh	Monster	Earth	Effect	None	Zombie	3	400	600	0	0	None	None
Beast Striker	Monster	Earth	Effect	None	Beast	4	1850	400	0	0	None	None
Beastking of the Swamps	Monster	Water	Effect	None	Aqua	4	1000	1100	0	0	None	None
Beautiful Headhuntress	Monster	Earth	Normal	None	Warrior	4	1600	800	0	0	None	None
Beaver Warrior	Monster	Earth	Normal	None	BeastWarrior	4	1200	1500	0	0	None	None
Bee List Soldier	Monster	Wind	Effect	None	Insect	1	500	400	0	0	None	None
Beelze Frog	Monster	Water	Effect	None	Aqua	3	1200	800	0	0	None	None
Behegon	Monster	Water	Normal	None	Aqua	4	1350	1000	0	0	None	None
Behemoth the King of All Animals	Monster	Earth	Effect	None	Beast	7	2700	1500	0	0	None	None
Beiige, Vanguard of Dark World	Monster	Dark	Effect	None	Fiend	4	1600	1300	0	0	None	None
Belial - Marquis of Darkness	Monster	Dark	Effect	None	Fiend	8	2800	2400	0	0	None	None
Berfomet	Monster	Dark	Effect	None	Fiend	5	1400	1800	0	0	None	None
Berserk Dragon	Monster	Dark	Effect	None	Zombie	8	3500	0	0	0	None	None
Berserk Gorilla	Monster	Earth	Effect	None	Beast	4	2000	1000	0	0	None	None
B.E.S. Big Core MK-2	Monster	Fire	Effect	None	Machine	6	2400	1100	0	0	None	None
B.E.S. Covered Core	Monster	Earth	Effect	None	Machine	7	2500	800	0	0	None	None
B.E.S. Crystal Core	Monster	Water	Effect	None	Machine	5	2100	1000	0	0	None	None
B.E.S. Tetran	Monster	Wind	Effect	None	Machine	6	1800	2300	0	0	None	None
Beta The Magnet Warrior	Monster	Earth	Normal	None	Rock	4	1700	1600	0	0	None	None
Bickuribox	Monster	Dark	Fusion	None	Fiend	7	2300	2000	0	0	None	None
Bicorn Re'em	Monster	Dark	Effect	None	Beast	4	800	1600	0	0	None	None
Bicular	Monster	Earth	Effect	None	Machine	2	200	200	0	0	None	None
Big Core	Monster	Dark	Effect	None	Machine	6	2300	1100	0	0	None	None
Big Eye	Monster	Dark	Effect	None	Fiend	4	1200	1000	0	0	None	None
Big Jaws	Monster	Water	Effect	None	Fish	3	1800	300	0	0	None	None
Big Koala	Monster	Earth	Normal	None	Beast	7	2700	2000	0	0	None	None
Big One Warrior	Monster	Light	Effect	None	Warrior	1	100	600	0	0	None	None
Big Piece Golem	Monster	Earth	Effect	None	Rock	5	2100	0	0	0	None	None
Big Shield Gardna	Monster	Earth	Effect	None	Warrior	4	100	2600	0	0	None	None
Big-Tusked Mammoth	Monster	Earth	Effect	None	Beast	5	2000	1000	0	0	None	None
Bio-Mage	Monster	Light	Normal	None	Fairy	3	1150	1000	0	0	None	None
Biofalcon	Monster	Light	Effect	None	Machine	4	1700	1200	0	0	None	None
Birdface	Monster	Wind	Effect	None	WingedBeast	4	1600	1600	0	0	None	None
Bird of Roses	Monster	Wind	Effect	None	Plant	4	1800	1500	0	0	None	None
Bite Shoes	Monster	Dark	Effect	None	Fiend	2	500	300	0	0	None	None
Bitelon	Monster	Water	Effect	None	Reptile	6	2400	1000	0	0	None	None
Black Brutdrago	Monster	Fire	Synchro	Effect	Dragon	8	3000	2600	0	0	None	None
Black Luster Soldier	Monster	Earth	Ritual	None	Warrior	8	3000	2500	0	0	None	None
Black Luster Soldier - Envoy of the Beginning	Monster	Light	Effect	None	Warrior	8	3000	2500	0	0	None	None
Black Potan	Monster	Dark	Effect	None	Fiend	1	200	100	0	0	None	None
Black Ptera	Monster	Wind	Effect	None	Dinosaur	3	1000	500	0	0	None	None
Black Ray Lancer	Monster	Dark	Xyz	Effect	BeastWarrior	3	2100	600	0	0	None	None
Black Rose Dragon	Monster	Fire	Synchro	Effect	Dragon	7	2400	1800	0	0	None	None
Black Salvo	Monster	Dark	Effect	Tuner	Machine	3	100	1100	0	0	None	None
Black Stego	Monster	Earth	Effect	None	Dinosaur	4	1200	2000	0	0	None	None
Black Tyranno	Monster	Earth	Effect	None	Dinosaur	7	2600	1800	0	0	None	None
Black Veloci	Monster	Earth	Effect	None	Dinosaur	4	1800	300	0	0	None	None
Blackland Fire Dragon	Monster	Dark	Normal	None	Dragon	4	1500	800	0	0	None	None
Black-Winged Dragon	Monster	Dark	Synchro	Effect	Dragon	8	2800	1600	0	0	None	None
Blackwing - Abrolhos the Megaquake	Monster	Dark	Effect	None	WingedBeast	7	2600	1800	0	0	None	None
Blackwing - Aurora the Northern Lights	Monster	Light	Effect	None	WingedBeast	10	0	0	0	0	None	None
Blackwing - Blizzard the Far North	Monster	Dark	Effect	Tuner	WingedBeast	2	1300	0	0	0	None	None
Blackwing - Bora the Spear	Monster	Dark	Effect	None	WingedBeast	4	1700	800	0	0	None	None
Blackwing - Boreas the Sharp	Monster	Dark	Effect	None	WingedBeast	5	1300	900	0	0	None	None
Blackwing - Breeze the Zephyr	Monster	Dark	Effect	Tuner	WingedBeast	3	1100	300	0	0	None	None
Blackwing - Brisote the Tailwind	Monster	Dark	Effect	None	WingedBeast	5	1200	1800	0	0	None	None
Blackwing - Calima the Haze	Monster	Dark	Effect	None	WingedBeast	4	600	1800	0	0	None	None
Blackwing - Elphin the Raven	Monster	Dark	Effect	None	WingedBeast	6	2200	1200	0	0	None	None
Blackwing - Etesian of Two Swords	Monster	Dark	Effect	None	WingedBeast	3	400	600	0	0	None	None
Blackwing - Fane the Steel Chain	Monster	Dark	Effect	None	WingedBeast	2	500	800	0	0	None	None
Blackwing - Gale the Whirlwind	Monster	Dark	Effect	Tuner	WingedBeast	3	1300	400	0	0	None	None
Blackwing - Gust the Backblast	Monster	Dark	Effect	None	WingedBeast	2	900	1400	0	0	None	None
Blackwing - Hillen the Tengu-wind	Monster	Dark	Effect	Tuner	WingedBeast	5	0	2300	0	0	None	None
Blackwing - Jetstream the Blue Sky	Monster	Dark	Effect	None	WingedBeast	1	100	800	0	0	None	None
Blackwing - Jin the Rain Shadow	Monster	Dark	Effect	Tuner	WingedBeast	1	600	500	0	0	None	None
Blackwing - Kalut the Moon Shadow	Monster	Dark	Effect	None	WingedBeast	3	1400	1000	0	0	None	None
Blackwing - Kochi the Daybreak	Monster	Dark	Effect	Tuner	WingedBeast	4	700	1500	0	0	None	None
Blackwing - Kogarashi the Wanderer	Monster	Dark	Effect	Tuner	WingedBeast	6	2300	1600	0	0	None	None
Blackwing - Mistral the Silver Shield	Monster	Dark	Effect	Tuner	WingedBeast	2	100	1800	0	0	None	None
Blackwing - Shura the Blue Flame	Monster	Dark	Effect	None	WingedBeast	4	1800	1200	0	0	None	None
Blackwing - Silverwind the Ascendant	Monster	Dark	Synchro	Effect	WingedBeast	8	2800	2000	0	0	None	None
Blackwing - Sirocco the Dawn	Monster	Dark	Effect	None	WingedBeast	5	2000	900	0	0	None	None
Blackwing - Vayu the Emblem of Honor	Monster	Dark	Effect	Tuner	WingedBeast	1	800	0	0	0	None	None
Blackwing - Zephyros the Elite	Monster	Dark	Effect	None	WingedBeast	4	1600	1000	0	0	None	None
Blackwing Armed Wing	Monster	Dark	Synchro	Effect	WingedBeast	6	2300	1000	0	0	None	None
Blackwing Armor Master	Monster	Dark	Synchro	Effect	WingedBeast	7	2500	1500	0	0	None	None
Bladefly	Monster	Wind	Effect	None	Insect	2	600	700	0	0	None	None
Blade Knight	Monster	Light	Effect	None	Warrior	4	1600	1000	0	0	None	None
Blade Rabbit	Monster	Earth	Effect	None	Beast	2	400	300	0	0	None	None
